"cell","gene","garp_score","p_value"
"SU.86.86","ING2","0.02693761","0.95"
"SW1990","ING2","-0.08527442","0.827"
"BT-20","ING3","-0.1852354","0.547"
"BT-474","ING3","-0.2623374","0.335"
"BT-549","ING3","-0.1943812","0.667"
"CAL-51","ING3","-0.08922166","0.771"
"CAMA-1","ING3","-0.2479177","0.587"
"EFM-19","ING3","-0.09126194","0.635"
"HCC1143","ING3","-0.4234968","0.405"
"HCC1187","ING3","-0.07564341","0.932"
"HCC1395","ING3","-0.1426989","0.773"
"HCC1419","ING3","-0.2265823","0.358"
"HCC1428","ING3","-0.09751201","0.901"
"HCC1500","ING3","-0.1356555","0.621"
"HCC1806","ING3","-0.1844046","0.829"
"HCC1937","ING3","-0.03966882","0.768"
"HCC1954","ING3","-0.197324","0.37"
"HCC38","ING3","-0.3120255","0.359"
"Hs 578T","ING3","-0.1089664","0.333"
"KPL-1","ING3","-0.1067876","0.387"
"MCF7","ING3","-0.04003869","0.615"
"MDA-MB-157","ING3","-0.04260185","0.885"
"MDA-MB-231","ING3","-0.1799048","0.506"
"MDA-MB-361","ING3","-0.2972108","0.29"
"MDA-MB-436","ING3","-0.231479","0.556"
"MDA-MB-453","ING3","-0.02088916","0.509"
"MDA-MB-468","ING3","-0.1016354","0.522"
"SK-BR-3","ING3","-0.1618226","0.744"
"SW527","ING3","-0.02413756","0.901"
"T-47D","ING3","-0.1862098","0.602"
"ZR-75-1","ING3","-0.3576931","0.31"
"609050M","ING3","-0.2541304","0.32"
"A2780","ING3","-0.03753887","0.595"
"A2780_CIS","ING3","-0.08685943","0.522"
"MM_OVCAR432_Bast_1","ING3","-0.3776194","0.728"
"OV-1946","ING3","-0.261259","0.773"
"OV-90","ING3","-0.3305953","0.16"
"OVCA1369_TR","ING3","-0.9813395","0.49"
"OVCA433_Bast","ING3","-1.434769","0.032"
"OVCA5","ING3","-0.166678","0.482"
"OVCA8","ING3","-0.1146857","0.756"
"OVCAR-3","ING3","-0.3174939","0.613"
"SK-OV-3","ING3","-0.01878984","0.789"
"TOV-1946","ING3","-0.0867438","0.919"
"TOV-2223G","ING3","-0.039579","0.762"
"TOV-3133G","ING3","-0.1085507","0.507"
"AsPC-1","ING3","-0.1591012","0.444"
"BxPC-3","ING3","-0.3267933","0.364"
"CFPAC-1","ING3","-0.1165356","0.279"
"Capan-2","ING3","0.01272181","0.961"
"HPAC","ING3","-0.07144856","0.514"
"HPAF-II","ING3","-0.183967","0.429"
"HPDE","ING3","-2.216964","0.398"
"Hs 766T","ING3","-0.9124079","0.235"
"IMIM-PC-1","ING3","-0.08457829","0.693"
"IMIM-PC-2","ING3","-0.07921912","0.48"
"KP-3","ING3","-0.07044722","0.825"
"KP-4","ING3","-0.04872349","0.724"
"MIA PaCa-2","ING3","-0.02325792","0.869"
"PANC-1","ING3","-0.07033486","0.746"
"PL45","ING3","-0.2683856","0.276"
"PaTu_8988S","ING3","-0.06709617","0.537"
"PaTu_8988T","ING3","-0.06591733","0.716"
"Panc 02.03","ING3","-0.1594427","0.761"
"Panc 03.27","ING3","-0.06449451","0.694"
"Panc 04.03","ING3","-0.2851775","0.201"
"Panc 05.04","ING3","-0.4571418","0.167"
"Panc 08.13","ING3","-0.1224114","0.458"
"Panc 10.05","ING3","-0.08205874","0.681"
"RWP-1","ING3","-0.2282683","0.265"
"SK-PC-1","ING3","-0.1233537","0.571"
"SK-PC-3","ING3","-0.2925183","0.671"
"SU.86.86","ING3","-0.02703942","0.729"
"SW1990","ING3","-0.2566461","0.23"
"BT-20","ING4","-0.05984908","0.86"
"BT-474","ING4","-0.06621626","0.842"
"BT-549","ING4","-0.1397181","0.797"
"CAL-51","ING4","-0.08631068","0.787"
"CAMA-1","ING4","-0.1794935","0.753"
"EFM-19","ING4","0.05366193","0.995"
"HCC1143","ING4","-0.1433758","0.809"
"HCC1187","ING4","-0.3028287","0.421"
"HCC1395","ING4","-0.1166069","0.828"
"HCC1419","ING4","-0.09027732","0.77"
"HCC1428","ING4","-0.1160389","0.88"
"HCC1500","ING4","-0.1828133","0.485"
"HCC1806","ING4","-0.2740521","0.715"
"HCC1937","ING4","-0.03186521","0.795"
"HCC1954","ING4","-0.2607836","0.257"
"HCC38","ING4","-0.226736","0.537"
"Hs 578T","ING4","-0.09554513","0.395"
"KPL-1","ING4","-0.1225378","0.305"
"MCF7","ING4","-0.04403966","0.585"
"MDA-MB-157","ING4","-0.08275861","0.748"
"MDA-MB-231","ING4","-0.1885664","0.484"
"MDA-MB-361","ING4","-0.1412766","0.639"
"MDA-MB-436","ING4","-0.1626279","0.754"
"MDA-MB-453","ING4","-0.05942852","0.302"
"MDA-MB-468","ING4","-0.046376","0.754"
"SK-BR-3","ING4","-0.1774765","0.715"
"SW527","ING4","-0.07365696","0.691"
"T-47D","ING4","-0.1161219","0.799"
"ZR-75-1","ING4","-0.1753102","0.687"
"609050M","ING4","-0.185073","0.474"
"A2780","ING4","-0.007857383","0.719"
"A2780_CIS","ING4","-0.05862103","0.637"
"MM_OVCAR432_Bast_1","ING4","-0.4046006","0.699"
"OV-1946","ING4","-0.4277186","0.514"
"OV-90","ING4","-0.1960613","0.377"
"OVCA1369_TR","ING4","-0.3989846","0.803"
"OVCA433_Bast","ING4","-0.611903","0.513"
"OVCA5","ING4","-0.03917679","0.908"
"OVCA8","ING4","-0.1237193","0.733"
"OVCAR-3","ING4","-0.3048782","0.628"
"SK-OV-3","ING4","-0.08231241","0.46"
"TOV-1946","ING4","-0.128962","0.867"
"TOV-2223G","ING4","-0.1838327","0.433"
"TOV-3133G","ING4","-0.0559852","0.705"
"AsPC-1","ING4","-0.198388","0.312"
"BxPC-3","ING4","-0.2403122","0.523"
"CFPAC-1","ING4","-0.0533258","0.64"
"Capan-2","ING4","-0.02132933","0.802"
"HPAC","ING4","-0.1131802","0.306"
"HPAF-II","ING4","-0.1416722","0.563"
"HPDE","ING4","-3.076979","0.224"
"Hs 766T","ING4","-0.6321463","0.575"
"IMIM-PC-1","ING4","-0.09702414","0.615"
"IMIM-PC-2","ING4","-0.09048471","0.42"
"KP-3","ING4","-0.07584026","0.805"
"KP-4","ING4","-0.009166716","0.95"
"MIA PaCa-2","ING4","-0.01182733","0.931"
"PANC-1","ING4","-0.03246759","0.935"
"PL45","ING4","-0.2135489","0.411"
"PaTu_8988S","ING4","-0.02127914","0.836"
"PaTu_8988T","ING4","-0.08372486","0.595"
"Panc 02.03","ING4","-0.1251972","0.871"
"Panc 03.27","ING4","-0.01762683","0.917"
"Panc 04.03","ING4","-0.1648921","0.537"
"Panc 05.04","ING4","-0.2251467","0.67"
"Panc 08.13","ING4","-0.3445331","0.056"
"Panc 10.05","ING4","-0.08982275","0.657"
"RWP-1","ING4","-0.08157842","0.638"
"SK-PC-1","ING4","-0.115301","0.599"
"SK-PC-3","ING4","-0.3678824","0.518"
"SU.86.86","ING4","-0.02140279","0.759"
"SW1990","ING4","-0.1244613","0.664"
"BT-20","ING5","-0.08347906","0.803"
"BT-474","ING5","-0.08623534","0.776"
"BT-549","ING5","-0.2098311","0.635"
"CAL-51","ING5","-0.1631249","0.386"
"CAMA-1","ING5","-0.3898281","0.312"
"EFM-19","ING5","-0.2176018","0.262"
"HCC1143","ING5","-0.4109252","0.418"
"HCC1187","ING5","-0.3570511","0.324"
"HCC1395","ING5","-0.03773967","0.956"
"HCC1419","ING5","-0.2223161","0.37"
"HCC1428","ING5","-0.01977007","0.962"
"HCC1500","ING5","-0.2295088","0.377"
"HCC1806","ING5","-0.5836298","0.298"
"HCC1937","ING5","-0.1721571","0.402"
"HCC1954","ING5","-0.1359974","0.537"
"HCC38","ING5","-0.2469239","0.484"
"Hs 578T","ING5","-0.008476811","0.858"
"KPL-1","ING5","-0.02618859","0.953"
"MCF7","ING5","0.01021598","0.938"
"MDA-MB-157","ING5","0.001248623","0.971"
"MDA-MB-231","ING5","-0.08145595","0.734"
"MDA-MB-361","ING5","-0.5446474","0.068"
"MDA-MB-436","ING5","-0.3032889","0.4"
"MDA-MB-453","ING5","-0.04619591","0.347"
"MDA-MB-468","ING5","-0.1813339","0.296"
"SK-BR-3","ING5","-0.1156338","0.833"
"SW527","ING5","-0.06869995","0.714"
"T-47D","ING5","-0.2764544","0.395"
"ZR-75-1","ING5","-0.04695756","0.96"
"609050M","ING5","-0.1762311","0.5"
"A2780","ING5","0.008829458","0.786"
"A2780_CIS","ING5","-0.1206876","0.399"
"MM_OVCAR432_Bast_1","ING5","-0.8453225","0.257"
"OV-1946","ING5","-0.3144743","0.693"
"OV-90","ING5","-0.1555802","0.489"
"OVCA1369_TR","ING5","-1.548575","0.286"
"OVCA433_Bast","ING5","-0.5115865","0.607"
"OVCA5","ING5","-0.2294589","0.34"
"OVCA8","ING5","-0.2984639","0.361"
"OVCAR-3","ING5","-0.1803429","0.787"
"SK-OV-3","ING5","-0.09150412","0.417"
"TOV-1946","ING5","-0.318007","0.554"
"TOV-2223G","ING5","0.03973167","0.942"
"TOV-3133G","ING5","-0.3034986","0.145"
"AsPC-1","ING5","-0.1624421","0.436"
"BxPC-3","ING5","-0.1039099","0.84"
"CFPAC-1","ING5","-0.08271924","0.465"
"Capan-2","ING5","-0.06257417","0.561"
"HPAC","ING5","-0.0704141","0.519"
"HPAF-II","ING5","-0.0842628","0.77"
"HPDE","ING5","-1.045955","0.733"
"Hs 766T","ING5","-0.3555582","0.894"
"IMIM-PC-1","ING5","-0.1812203","0.216"
"IMIM-PC-2","ING5","-0.05415093","0.648"
"KP-3","ING5","-0.1018345","0.72"
"KP-4","ING5","-0.05037633","0.714"
"MIA PaCa-2","ING5","-0.02927291","0.832"
"PANC-1","ING5","-0.1034659","0.55"
"PL45","ING5","-0.08500078","0.836"
"PaTu_8988S","ING5","-0.06476087","0.549"
"PaTu_8988T","ING5","-0.06020849","0.747"
"Panc 02.03","ING5","-0.07797001","0.966"
"Panc 03.27","ING5","-0.1222091","0.443"
"Panc 04.03","ING5","-0.1100423","0.74"
"Panc 05.04","ING5","-0.2720739","0.54"
"Panc 08.13","ING5","-0.2093494","0.185"
"Panc 10.05","ING5","-0.2203427","0.254"
"RWP-1","ING5","0.01634965","0.934"
"SK-PC-1","ING5","-0.08048627","0.749"
"SK-PC-3","ING5","-0.2355881","0.796"
"SU.86.86","ING5","0.01030743","0.893"
"SW1990","ING5","-0.1479893","0.579"
"BT-20","INO80","-0.3384829","0.324"
"BT-474","INO80","-0.3850009","0.356"
"BT-549","INO80","-0.2729631","0.828"
"CAL-51","INO80","-0.1537886","0.699"
"CAMA-1","INO80","-0.659959","0.977"
"EFM-19","INO80","-0.05946449","0.806"
"HCC1143","INO80","-0.484416","0.996"
"HCC1187","INO80","-0.3354053","0.536"
"HCC1395","INO80","-0.2377985","0.76"
"HCC1419","INO80","-0.3220018","0.299"
"HCC1428","INO80","-0.5314425","0.13"
"HCC1500","INO80","-0.2925675","0.213"
"HCC1806","INO80","-0.6096417","0.411"
"HCC1937","INO80","-0.1561048","0.924"
"HCC1954","INO80","-0.3717338","0.911"
"HCC38","INO80","-0.4177365","0.235"
"Hs 578T","INO80","-0.05713097","0.973"
"KPL-1","INO80","-0.09996308","0.999"
"MCF7","INO80","-0.009247854","0.989"
"MDA-MB-157","INO80","-0.2081756","0.329"
"MDA-MB-231","INO80","-0.5243566","0.936"
"MDA-MB-361","INO80","-0.2017981","0.512"
"MDA-MB-436","INO80","-0.2889452","0.992"
"MDA-MB-453","INO80","-0.08263204","0.483"
"MDA-MB-468","INO80","-0.373423","0.179"
"SK-BR-3","INO80","-0.3600545","0.724"
"SW527","INO80","-0.1742352","0.989"
"T-47D","INO80","-0.3484471","0.354"
"ZR-75-1","INO80","-0.3357138","0.527"
"609050M","INO80","-0.2296656","0.308"
"A2780","INO80","-0.09479428","0.965"
"A2780_CIS","INO80","-0.06308595","0.417"
"MM_OVCAR432_Bast_1","INO80","-0.8047062","0.862"
"OV-1946","INO80","-0.3956867","0.816"
"OV-90","INO80","-0.1583759","0.549"
"OVCA1369_TR","INO80","-2.002388","0.086"
"OVCA433_Bast","INO80","-0.8671921","0.435"
"OVCA5","INO80","-0.2028253","0.251"
"OVCA8","INO80","-0.2441318","0.71"
"OVCAR-3","INO80","-0.8078878","0.432"
"SK-OV-3","INO80","-0.01621054","0.327"
"TOV-1946","INO80","-0.4486974","0.637"
"TOV-2223G","INO80","-0.1127174","0.702"
"TOV-3133G","INO80","-0.09782784","0.324"
"AsPC-1","INO80","-0.2123053","0.394"
"BxPC-3","INO80","-0.191517","0.965"
"CFPAC-1","INO80","-0.006843396","0.69"
"Capan-2","INO80","-0.1260421","0.664"
"HPAC","INO80","-0.1104652","0.867"
"HPAF-II","INO80","-0.1884295","0.425"
"HPDE","INO80","-2.270227","0.62"
"Hs 766T","INO80","-0.6647642","0.556"
"IMIM-PC-1","INO80","-0.1988561","0.096"
"IMIM-PC-2","INO80","-0.0286396","0.361"
"KP-3","INO80","-0.3609655","0.309"
"KP-4","INO80","-0.1264187","0.418"
"MIA PaCa-2","INO80","-0.01909239","0.995"
"PANC-1","INO80","-0.1079835","0.687"
"PL45","INO80","-0.1512715","0.997"
"PaTu_8988S","INO80","-0.1464259","0.109"
"PaTu_8988T","INO80","-0.144747","0.33"
"Panc 02.03","INO80","-0.4252831","0.768"
"Panc 03.27","INO80","-0.1947467","0.511"
"Panc 04.03","INO80","-0.1371131","1"
"Panc 05.04","INO80","-0.3034786","0.894"
"Panc 08.13","INO80","-0.2867619","0.128"
"Panc 10.05","INO80","-0.2750466","0.187"
"RWP-1","INO80","-0.09248418","0.979"
"SK-PC-1","INO80","-0.1264925","1"
"SK-PC-3","INO80","-0.4441215","0.778"
"SU.86.86","INO80","-0.177101","0.836"
"SW1990","INO80","-0.214711","0.626"
"BT-20","INO80B","-0.2595127","0.388"
"BT-474","INO80B","-0.6327472","0.027"
"BT-549","INO80B","-0.7224726","0.053"
"CAL-51","INO80B","-0.2282581","0.185"
"CAMA-1","INO80B","-0.6370717","0.08"
"EFM-19","INO80B","-0.1383305","0.489"
"HCC1143","INO80B","-0.7382509","0.128"
"HCC1187","INO80B","-0.3739393","0.296"
"HCC1395","INO80B","-0.4907019","0.18"
"HCC1419","INO80B","-0.4890296","0.059"
"HCC1428","INO80B","-0.2907988","0.642"
"HCC1500","INO80B","-0.188479","0.473"
"HCC1806","INO80B","-0.5578531","0.323"
"HCC1937","INO80B","-0.3609244","0.125"
"HCC1954","INO80B","-0.287511","0.209"
"HCC38","INO80B","-0.3823554","0.242"
"Hs 578T","INO80B","-0.2230278","0.115"
"KPL-1","INO80B","-0.1865193","0.127"
"MCF7","INO80B","-0.128029","0.178"
"MDA-MB-157","INO80B","-0.1911962","0.404"
"MDA-MB-231","INO80B","-0.6094458","0.049"
"MDA-MB-361","INO80B","-0.4945896","0.083"
"MDA-MB-436","INO80B","-0.3287362","0.353"
"MDA-MB-453","INO80B","-0.01642527","0.534"
"MDA-MB-468","INO80B","-0.1389122","0.398"
"SK-BR-3","INO80B","-0.5541269","0.16"
"SW527","INO80B","-0.1901509","0.311"
"T-47D","INO80B","-0.3694068","0.221"
"ZR-75-1","INO80B","-0.4521058","0.19"
"609050M","INO80B","-0.4009053","0.119"
"A2780","INO80B","-0.1043781","0.343"
"A2780_CIS","INO80B","-0.08252797","0.539"
"MM_OVCAR432_Bast_1","INO80B","-0.7954999","0.298"
"OV-1946","INO80B","-1.11017","0.021"
"OV-90","INO80B","-0.3564666","0.143"
"OVCA1369_TR","INO80B","-0.9224552","0.505"
"OVCA433_Bast","INO80B","-1.05864","0.142"
"OVCA5","INO80B","-0.3358324","0.191"
"OVCA8","INO80B","-0.6062424","0.041"
"OVCAR-3","INO80B","-1.228512","0.052"
"SK-OV-3","INO80B","-0.1342109","0.267"
"TOV-1946","INO80B","-0.4022065","0.413"
"TOV-2223G","INO80B","-0.1299718","0.557"
"TOV-3133G","INO80B","-0.05624222","0.704"
"AsPC-1","INO80B","-0.2192511","0.263"
"BxPC-3","INO80B","-0.4716494","0.163"
"CFPAC-1","INO80B","-0.06232115","0.583"
"Capan-2","INO80B","-0.1052799","0.367"
"HPAC","INO80B","-0.0729659","0.509"
"HPAF-II","INO80B","-0.2830729","0.187"
"HPDE","INO80B","-3.811732","0.134"
"Hs 766T","INO80B","-1.210361","0.046"
"IMIM-PC-1","INO80B","-0.1463792","0.331"
"IMIM-PC-2","INO80B","-0.1348013","0.227"
"KP-3","INO80B","-0.3262802","0.141"
"KP-4","INO80B","-0.1792396","0.128"
"MIA PaCa-2","INO80B","-0.2520314","0.04"
"PANC-1","INO80B","-0.2557234","0.089"
"PL45","INO80B","-0.2642628","0.289"
"PaTu_8988S","INO80B","-0.0930123","0.415"
"PaTu_8988T","INO80B","-0.1779689","0.201"
"Panc 02.03","INO80B","-0.2947069","0.351"
"Panc 03.27","INO80B","-0.2747685","0.106"
"Panc 04.03","INO80B","-0.3176649","0.146"
"Panc 05.04","INO80B","-0.4011512","0.247"
"Panc 08.13","INO80B","-0.3844118","0.046"
"Panc 10.05","INO80B","-0.1899697","0.333"
"RWP-1","INO80B","-0.2044345","0.302"
"SK-PC-1","INO80B","-0.319217","0.079"
"SK-PC-3","INO80B","-0.9290792","0.013"
"SU.86.86","INO80B","-0.1408113","0.3"
"SW1990","INO80B","-0.2602447","0.222"
"BT-20","INO80C","-0.4310622","0.151"
"BT-474","INO80C","-0.1769137","0.511"
"BT-549","INO80C","-0.3726124","0.331"
"CAL-51","INO80C","-0.1297479","0.55"
"CAMA-1","INO80C","-0.3987739","0.296"
"EFM-19","INO80C","-0.05893165","0.757"
"HCC1143","INO80C","-0.3177452","0.525"
"HCC1187","INO80C","-0.2841476","0.465"
"HCC1395","INO80C","-0.3298376","0.391"
"HCC1419","INO80C","-0.09369537","0.758"
"HCC1428","INO80C","-0.2206632","0.736"
"HCC1500","INO80C","-0.1651898","0.53"
"HCC1806","INO80C","-0.3135304","0.667"
"HCC1937","INO80C","-0.06112037","0.704"
"HCC1954","INO80C","-0.1895365","0.387"
"HCC38","INO80C","-0.3287212","0.325"
"Hs 578T","INO80C","-0.069888","0.529"
"KPL-1","INO80C","-0.1425533","0.224"
"MCF7","INO80C","-0.0790514","0.365"
"MDA-MB-157","INO80C","-0.1401698","0.558"
"MDA-MB-231","INO80C","-0.1866172","0.486"
"MDA-MB-361","INO80C","-0.2067533","0.487"
"MDA-MB-436","INO80C","-0.2715038","0.456"
"MDA-MB-453","INO80C","-0.007093305","0.622"
"MDA-MB-468","INO80C","-0.1058986","0.505"
"SK-BR-3","INO80C","-0.2276205","0.618"
"SW527","INO80C","-0.1428301","0.437"
"T-47D","INO80C","-0.2751213","0.397"
"ZR-75-1","INO80C","-0.4028578","0.237"
"609050M","INO80C","-0.2474186","0.331"
"A2780","INO80C","-0.03848132","0.586"
"A2780_CIS","INO80C","-0.06952647","0.595"
"MM_OVCAR432_Bast_1","INO80C","-0.4034023","0.701"
"OV-1946","INO80C","-0.3725615","0.594"
"OV-90","INO80C","-0.01802283","0.931"
"OVCA1369_TR","INO80C","-0.6436837","0.645"
"OVCA433_Bast","INO80C","-0.6290171","0.489"
"OVCA5","INO80C","-0.139335","0.578"
"OVCA8","INO80C","-0.2052857","0.545"
"OVCAR-3","INO80C","-0.113652","0.857"
"SK-OV-3","INO80C","-0.02357203","0.765"
"TOV-1946","INO80C","-0.266958","0.653"
"TOV-2223G","INO80C","-0.0226523","0.812"
"TOV-3133G","INO80C","-0.07301472","0.64"
"AsPC-1","INO80C","-0.1269891","0.539"
"BxPC-3","INO80C","-0.1601617","0.711"
"CFPAC-1","INO80C","-0.01392446","0.914"
"Capan-2","INO80C","-0.05574613","0.601"
"HPAC","INO80C","-0.1219348","0.264"
"HPAF-II","INO80C","-0.2209301","0.328"
"HPDE","INO80C","-2.016037","0.462"
"Hs 766T","INO80C","-0.6023837","0.606"
"IMIM-PC-1","INO80C","-0.09913502","0.605"
"IMIM-PC-2","INO80C","-0.0686608","0.548"
"KP-3","INO80C","-0.06692764","0.837"
"KP-4","INO80C","-0.06033815","0.644"
"MIA PaCa-2","INO80C","-0.1029347","0.365"
"PANC-1","INO80C","-0.1601905","0.331"
"PL45","INO80C","-0.3332874","0.145"
"PaTu_8988S","INO80C","-0.07810406","0.482"
"PaTu_8988T","INO80C","-0.07833656","0.64"
"Panc 02.03","INO80C","-0.1837264","0.681"
"Panc 03.27","INO80C","-0.05536784","0.733"
"Panc 04.03","INO80C","-0.1103618","0.739"
"Panc 05.04","INO80C","-0.353063","0.343"
"Panc 08.13","INO80C","-0.2311347","0.14"
"Panc 10.05","INO80C","-0.1194031","0.541"
"RWP-1","INO80C","-0.1467731","0.444"
"SK-PC-1","INO80C","-0.2293875","0.234"
"SK-PC-3","INO80C","-0.5600674","0.236"
"SU.86.86","INO80C","0.01859972","0.93"
"SW1990","INO80C","-0.1493496","0.575"
"BT-20","INO80D","-0.2966129","0.324"
"BT-474","INO80D","-0.2513447","0.356"
"BT-549","INO80D","-0.1251771","0.828"
"CAL-51","INO80D","-0.1010945","0.699"
"CAMA-1","INO80D","-0.06704211","0.977"
"EFM-19","INO80D","-0.04666603","0.806"
"HCC1143","INO80D","0.08730684","0.996"
"HCC1187","INO80D","-0.2495139","0.536"
"HCC1395","INO80D","-0.1503737","0.76"
"HCC1419","INO80D","-0.2506067","0.299"
"HCC1428","INO80D","-0.9629788","0.13"
"HCC1500","INO80D","-0.327988","0.213"
"HCC1806","INO80D","-0.4881367","0.411"
"HCC1937","INO80D","0.01524558","0.924"
"HCC1954","INO80D","-0.03589806","0.911"
"HCC38","INO80D","-0.389127","0.235"
"Hs 578T","INO80D","0.0300716","0.973"
"KPL-1","INO80D","0.01129047","0.999"
"MCF7","INO80D","0.03595743","0.989"
"MDA-MB-157","INO80D","-0.2243702","0.329"
"MDA-MB-231","INO80D","0.02239533","0.936"
"MDA-MB-361","INO80D","-0.1945966","0.512"
"MDA-MB-436","INO80D","-0.05864412","0.992"
"MDA-MB-453","INO80D","-0.02417599","0.483"
"MDA-MB-468","INO80D","-0.2570592","0.179"
"SK-BR-3","INO80D","-0.1732589","0.724"
"SW527","INO80D","0.01993098","0.989"
"T-47D","INO80D","-0.2933551","0.354"
"ZR-75-1","INO80D","-0.2407767","0.527"
"609050M","INO80D","-0.2630718","0.308"
"A2780","INO80D","0.06330746","0.965"
"A2780_CIS","INO80D","-0.1162241","0.417"
"MM_OVCAR432_Bast_1","INO80D","-0.2480446","0.862"
"OV-1946","INO80D","-0.2340906","0.816"
"OV-90","INO80D","-0.1330447","0.549"
"OVCA1369_TR","INO80D","-2.73014","0.086"
"OVCA433_Bast","INO80D","-0.6652808","0.435"
"OVCA5","INO80D","-0.2911993","0.251"
"OVCA8","INO80D","-0.1348644","0.71"
"OVCAR-3","INO80D","-0.4963544","0.432"
"SK-OV-3","INO80D","-0.1149959","0.327"
"TOV-1946","INO80D","-0.2753181","0.637"
"TOV-2223G","INO80D","-0.06570635","0.702"
"TOV-3133G","INO80D","-0.1720524","0.324"
"AsPC-1","INO80D","-0.1724797","0.394"
"BxPC-3","INO80D","-0.03749746","0.965"
"CFPAC-1","INO80D","-0.04810277","0.69"
"Capan-2","INO80D","-0.04862854","0.664"
"HPAC","INO80D","-0.01972846","0.867"
"HPAF-II","INO80D","-0.1855327","0.425"
"HPDE","INO80D","-1.440217","0.62"
"Hs 766T","INO80D","-0.6439566","0.556"
"IMIM-PC-1","INO80D","-0.2608113","0.096"
"IMIM-PC-2","INO80D","-0.1023125","0.361"
"KP-3","INO80D","-0.2386659","0.309"
"KP-4","INO80D","-0.09778179","0.418"
"MIA PaCa-2","INO80D","0.009642388","0.995"
"PANC-1","INO80D","-0.07929497","0.687"
"PL45","INO80D","0.00934426","0.997"
"PaTu_8988S","INO80D","-0.1980243","0.109"
"PaTu_8988T","INO80D","-0.1340909","0.33"
"Panc 02.03","INO80D","-0.1576856","0.768"
"Panc 03.27","INO80D","-0.1038064","0.511"
"Panc 04.03","INO80D","0.01567705","1"
"Panc 05.04","INO80D","-0.1179369","0.894"
"Panc 08.13","INO80D","-0.2418065","0.128"
"Panc 10.05","INO80D","-0.2589119","0.187"
"RWP-1","INO80D","0.04349753","0.979"
"SK-PC-1","INO80D","0.006330003","1"
"SK-PC-3","INO80D","-0.2457219","0.778"
"SU.86.86","INO80D","-0.004272898","0.836"
"SW1990","INO80D","-0.1330819","0.626"
"BT-20","JARID2","-0.1867664","0.543"
"BT-474","JARID2","-0.3559776","0.201"
"BT-549","JARID2","-0.4178013","0.273"
"CAL-51","JARID2","-0.1238645","0.57"
"CAMA-1","JARID2","-0.2027169","0.698"
"EFM-19","JARID2","-0.1864606","0.328"
"HCC1143","JARID2","-0.4067927","0.421"
"HCC1187","JARID2","-0.1325336","0.801"
"HCC1395","JARID2","-0.2795494","0.488"
"HCC1419","JARID2","-0.2705059","0.267"
"HCC1428","JARID2","-0.2705185","0.668"
"HCC1500","JARID2","-0.04032778","0.903"
"HCC1806","JARID2","-0.2143153","0.79"
"HCC1937","JARID2","-0.08847558","0.61"
"HCC1954","JARID2","-0.1022923","0.676"
"HCC38","JARID2","-0.2409957","0.503"
"Hs 578T","JARID2","-0.04715299","0.658"
"KPL-1","JARID2","-0.1108101","0.375"
"MCF7","JARID2","-0.041242","0.611"
"MDA-MB-157","JARID2","-0.1433408","0.548"
"MDA-MB-231","JARID2","-0.2019355","0.462"
"MDA-MB-361","JARID2","-0.2555269","0.388"
"MDA-MB-436","JARID2","-0.2889554","0.424"
"MDA-MB-453","JARID2","-0.00337036","0.658"
"MDA-MB-468","JARID2","-0.1587222","0.338"
"SK-BR-3","JARID2","-0.2801574","0.516"
"SW527","JARID2","-0.09605053","0.601"
"T-47D","JARID2","-0.1277144","0.774"
"ZR-75-1","JARID2","-0.2602451","0.485"
"609050M","JARID2","-0.1812064","0.485"
"A2780","JARID2","-0.1249396","0.282"
"A2780_CIS","JARID2","-0.1534999","0.312"
"MM_OVCAR432_Bast_1","JARID2","-0.3295666","0.777"
"OV-1946","JARID2","-0.7546721","0.159"
"OV-90","JARID2","-0.09559887","0.682"
"OVCA1369_TR","JARID2","-0.3150674","0.864"
"OVCA433_Bast","JARID2","-0.3617695","0.778"
"OVCA5","JARID2","-0.1986707","0.403"
"OVCA8","JARID2","-0.1806037","0.592"
"OVCAR-3","JARID2","-0.1487482","0.824"
"SK-OV-3","JARID2","-0.1007096","0.377"
"TOV-1946","JARID2","-0.5291729","0.244"
"TOV-2223G","JARID2","-0.1228295","0.57"
"TOV-3133G","JARID2","0.01018067","0.957"
"AsPC-1","JARID2","-0.1463715","0.468"
"BxPC-3","JARID2","-0.3345423","0.352"
"CFPAC-1","JARID2","-0.05195456","0.659"
"Capan-2","JARID2","-0.09720756","0.399"
"HPAC","JARID2","-0.08469845","0.435"
"HPAF-II","JARID2","-0.1339006","0.596"
"HPDE","JARID2","-1.860298","0.503"
"Hs 766T","JARID2","-0.5179698","0.716"
"IMIM-PC-1","JARID2","-0.06959504","0.813"
"IMIM-PC-2","JARID2","-0.08074196","0.472"
"KP-3","JARID2","-0.1611605","0.516"
"KP-4","JARID2","-0.1256621","0.284"
"MIA PaCa-2","JARID2","-0.06180854","0.606"
"PANC-1","JARID2","-0.1330133","0.425"
"PL45","JARID2","-0.2025748","0.448"
"PaTu_8988S","JARID2","-0.07459243","0.501"
"PaTu_8988T","JARID2","-0.09056093","0.539"
"Panc 02.03","JARID2","-0.253404","0.441"
"Panc 03.27","JARID2","-0.06750418","0.68"
"Panc 04.03","JARID2","-0.1971692","0.441"
"Panc 05.04","JARID2","-0.2840807","0.512"
"Panc 08.13","JARID2","-0.1115434","0.496"
"Panc 10.05","JARID2","-0.180211","0.358"
