"cell","gene","garp_score","p_value"
"MM_OVCAR432_Bast_1","ACTL6B","-1.075148","0.129"
"OV-1946","ACTL6B","-0.7166717","0.184"
"OV-90","ACTL6B","-0.410762","0.097"
"OVCA1369_TR","ACTL6B","-2.048259","0.165"
"OVCA433_Bast","ACTL6B","-1.414966","0.036"
"OVCA5","ACTL6B","-0.3901675","0.142"
"OVCA8","ACTL6B","-0.4155549","0.198"
"OVCAR-3","ACTL6B","-1.204393","0.058"
"SK-OV-3","ACTL6B","-0.05171853","0.611"
"TOV-1946","ACTL6B","-0.4002094","0.421"
"TOV-2223G","ACTL6B","-0.3670683","0.208"
"TOV-3133G","ACTL6B","-0.05288409","0.72"
"AsPC-1","ACTL6B","-0.3392604","0.071"
"BxPC-3","ACTL6B","-0.5457668","0.104"
"CFPAC-1","ACTL6B","-0.1945754","0.083"
"Capan-2","ACTL6B","-0.2970486","0.059"
"HPAC","ACTL6B","-0.1355906","0.217"
"HPAF-II","ACTL6B","-0.3700624","0.097"
"HPDE","ACTL6B","-3.483696","0.174"
"Hs 766T","ACTL6B","-1.226708","0.043"
"IMIM-PC-1","ACTL6B","-0.3892772","0.021"
"IMIM-PC-2","ACTL6B","-0.09142378","0.415"
"KP-3","ACTL6B","-0.3101344","0.169"
"KP-4","ACTL6B","-0.1999004","0.089"
"MIA PaCa-2","ACTL6B","-0.1456111","0.201"
"PANC-1","ACTL6B","-0.1976707","0.21"
"PL45","ACTL6B","-0.2856489","0.24"
"PaTu_8988S","ACTL6B","-0.1405036","0.236"
"PaTu_8988T","ACTL6B","-0.1941526","0.165"
"Panc 02.03","ACTL6B","-0.3541544","0.229"
"Panc 03.27","ACTL6B","-0.3081362","0.083"
"Panc 04.03","ACTL6B","-0.3864497","0.075"
"Panc 05.04","ACTL6B","-0.5427926","0.08"
"Panc 08.13","ACTL6B","-0.3359919","0.062"
"Panc 10.05","ACTL6B","-0.3563678","0.079"
"RWP-1","ACTL6B","-0.3323062","0.14"
"SK-PC-1","ACTL6B","-0.1991663","0.295"
"SK-PC-3","ACTL6B","-0.822746","0.042"
"SU.86.86","ACTL6B","-0.2916003","0.06"
"SW1990","ACTL6B","-0.2633067","0.214"
"BT-20","ACTR5","-0.2170918","0.483"
"BT-474","ACTR5","-0.6939942","0.015"
"BT-549","ACTR5","-0.2799814","0.484"
"CAL-51","ACTR5","-0.2578434","0.144"
"CAMA-1","ACTR5","-0.1015791","0.918"
"EFM-19","ACTR5","-0.0837335","0.667"
"HCC1143","ACTR5","-0.3990558","0.431"
"HCC1187","ACTR5","-0.7087407","0.041"
"HCC1395","ACTR5","-0.5939098","0.097"
"HCC1419","ACTR5","-0.6548918","0.02"
"HCC1428","ACTR5","-1.279252","0.037"
"HCC1500","ACTR5","-0.09682637","0.747"
"HCC1806","ACTR5","-0.3386136","0.633"
"HCC1937","ACTR5","-0.243385","0.272"
"HCC1954","ACTR5","-0.4513972","0.068"
"HCC38","ACTR5","-0.2720506","0.433"
"Hs 578T","ACTR5","-0.06391616","0.558"
"KPL-1","ACTR5","-0.1129989","0.36"
"MCF7","ACTR5","-0.001280914","0.886"
"MDA-MB-157","ACTR5","-0.1890112","0.409"
"MDA-MB-231","ACTR5","-0.1495042","0.573"
"MDA-MB-361","ACTR5","-0.1916499","0.516"
"MDA-MB-436","ACTR5","-0.5172898","0.137"
"MDA-MB-453","ACTR5","-0.05368235","0.318"
"MDA-MB-468","ACTR5","-0.2061268","0.244"
"SK-BR-3","ACTR5","-0.3437143","0.42"
"SW527","ACTR5","-0.09646586","0.597"
"T-47D","ACTR5","-0.4542655","0.133"
"ZR-75-1","ACTR5","-0.3255167","0.363"
"609050M","ACTR5","-0.297956","0.24"
"A2780","ACTR5","-0.1288133","0.273"
"A2780_CIS","ACTR5","-0.3075485","0.092"
"MM_OVCAR432_Bast_1","ACTR5","-1.13193","0.106"
"OV-1946","ACTR5","-0.5303221","0.378"
"OV-90","ACTR5","-0.2471407","0.288"
"OVCA1369_TR","ACTR5","-1.130592","0.436"
"OVCA433_Bast","ACTR5","-0.9235888","0.216"
"OVCA5","ACTR5","-0.1714593","0.473"
"OVCA8","ACTR5","-0.5108038","0.093"
"OVCAR-3","ACTR5","-1.616548","0.012"
"SK-OV-3","ACTR5","-0.2260418","0.11"
"TOV-1946","ACTR5","-0.6735694","0.102"
"TOV-2223G","ACTR5","-0.1894156","0.421"
"TOV-3133G","ACTR5","-0.5040642","0.057"
"AsPC-1","ACTR5","-0.05573684","0.815"
"BxPC-3","ACTR5","-0.4621689","0.171"
"CFPAC-1","ACTR5","-0.07964452","0.481"
"Capan-2","ACTR5","-0.1098971","0.343"
"HPAC","ACTR5","-0.1231817","0.259"
"HPAF-II","ACTR5","-0.1598653","0.499"
"HPDE","ACTR5","-3.544652","0.165"
"Hs 766T","ACTR5","-1.095249","0.094"
"IMIM-PC-1","ACTR5","-0.2009908","0.173"
"IMIM-PC-2","ACTR5","-0.07393701","0.508"
"KP-3","ACTR5","-0.08090719","0.794"
"KP-4","ACTR5","-0.1502217","0.196"
"MIA PaCa-2","ACTR5","-0.1199235","0.27"
"PANC-1","ACTR5","-0.155554","0.342"
"PL45","ACTR5","-0.2699776","0.274"
"PaTu_8988S","ACTR5","-0.04642781","0.664"
"PaTu_8988T","ACTR5","-0.1951506","0.162"
"Panc 02.03","ACTR5","-0.1666369","0.74"
"Panc 03.27","ACTR5","-0.4017449","0.043"
"Panc 04.03","ACTR5","-0.4135198","0.058"
"Panc 05.04","ACTR5","-0.3046583","0.457"
"Panc 08.13","ACTR5","-0.3855951","0.046"
"Panc 10.05","ACTR5","-0.2763732","0.159"
"RWP-1","ACTR5","-0.05958634","0.709"
"SK-PC-1","ACTR5","-0.3820938","0.035"
"SK-PC-3","ACTR5","-0.3471358","0.558"
"SU.86.86","ACTR5","-0.3172414","0.052"
"SW1990","ACTR5","-0.1987141","0.413"
"BT-20","ACTR8","-0.1734237","0.575"
"BT-474","ACTR8","-0.353323","0.206"
"BT-549","ACTR8","-0.1416136","0.789"
"CAL-51","ACTR8","-0.06180947","0.905"
"CAMA-1","ACTR8","-0.3127942","0.449"
"EFM-19","ACTR8","-0.1167462","0.557"
"HCC1143","ACTR8","-0.1255131","0.838"
"HCC1187","ACTR8","-0.03825197","0.979"
"HCC1395","ACTR8","-0.08499753","0.897"
"HCC1419","ACTR8","-0.1262511","0.648"
