"gene","cell","tissue","exp","cnv"
"ACTL6A","1321N1","CENTRAL NERVOUS SYSTEM","10.973","0.2674"
"ACTL6A","143B","BONE","11.008","0.2202"
"ACTL6A","22RV1","PROSTATE","11.005","-0.0016"
"ACTL6A","42MGBA","CENTRAL NERVOUS SYSTEM","9.8663","-0.2134"
"ACTL6A","5637","URINARY TRACT","10.107","-0.3715"
"ACTL6A","639V","URINARY TRACT","9.4408","0.1152"
"ACTL6A","647V","URINARY TRACT","11.125","0.2617"
"ACTL6A","697","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.781","-0.0183"
"ACTL6A","769P","KIDNEY","10.203","0.0307"
"ACTL6A","786O","KIDNEY","9.8436","0.1347"
"ACTL6A","8305C","THYROID","10.215","0.0587"
"ACTL6A","8505C","THYROID","10.842","0.3806"
"ACTL6A","8MGBA","CENTRAL NERVOUS SYSTEM","11.232","0.3899"
"ACTL6A","A101D","SKIN","10.487","0.2196"
"ACTL6A","A172","CENTRAL NERVOUS SYSTEM","10.83","0.6009"
"ACTL6A","A204","SOFT TISSUE","10.572","0.00925"
"ACTL6A","A253","SALIVARY GLAND","11.489","0.6673"
"ACTL6A","A2780","OVARY","10.881","0.0092"
"ACTL6A","A375","SKIN","10.071","-0.3382"
"ACTL6A","A498","KIDNEY","9.5602","-0.0499"
"ACTL6A","A549","LUNG","10.184","-0.4328"
"ACTL6A","A673","BONE","10.736","0.0564"
"ACTL6A","A704","KIDNEY","9.5359","0.1076"
"ACTL6A","ABC1","LUNG","11.607","1.033"
"ACTL6A","ACCMESO1","PLEURA","10.874","0.0476"
"ACTL6A","ACHN","KIDNEY","10.51","-0.1885"
"ACTL6A","AGS","STOMACH","10.762","-0.0309"
"ACTL6A","ALEXANDERCELLS","LIVER","9.4726","-1.234"
"ACTL6A","AM38","CENTRAL NERVOUS SYSTEM","10.545","-0.04612"
"ACTL6A","AML193","HAEMATOPOIETIC AND LYMPHOID TISSUE","11.339","0.4028"
"ACTL6A","AMO1","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.65","0.2324"
"ACTL6A","AN3CA","ENDOMETRIUM","9.9449","-0.07865"
"ACTL6A","ASPC1","PANCREAS","9.2298","-0.236"
"ACTL6A","AU565","BREAST","10.175","0.3471"
"ACTL6A","AZ521","STOMACH","10.906","0.0038"
"ACTL6A","BC3C","URINARY TRACT","10.451","0.405"
"ACTL6A","BCP1","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.433","-0.0154"
"ACTL6A","BCPAP","THYROID","8.0251","-0.01693"
"ACTL6A","BDCM","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.597","0.0236"
"ACTL6A","BECKER","CENTRAL NERVOUS SYSTEM","11.135","0.4969"
"ACTL6A","BEN","LUNG","9.8128","-0.1624"
"ACTL6A","BFTC905","URINARY TRACT","11.115","0.906"
"ACTL6A","BFTC909","KIDNEY","10.542","0.4606"
"ACTL6A","BHT101","THYROID","10.255","0.2814"
"ACTL6A","BHY","UPPER AERODIGESTIVE TRACT","9.431","0.108"
"ACTL6A","BICR16","UPPER AERODIGESTIVE TRACT","11.019","0.7664"
"ACTL6A","BICR18","UPPER AERODIGESTIVE TRACT","11.299","1.102"
"ACTL6A","BICR22","UPPER AERODIGESTIVE TRACT","11.731","1.718"
"ACTL6A","BICR31","UPPER AERODIGESTIVE TRACT","11.594","0.8942"
"ACTL6A","BICR56","UPPER AERODIGESTIVE TRACT","9.9552","0.5223"
"ACTL6A","BICR6","UPPER AERODIGESTIVE TRACT","11.377","0.6619"
"ACTL6A","BL41","HAEMATOPOIETIC AND LYMPHOID TISSUE","11.217","0.4733"
"ACTL6A","BL70","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.941","0.0049"
"ACTL6A","BT20","BREAST","10.27","0.3366"
"ACTL6A","BT474","BREAST","11.378","0.4269"
"ACTL6A","BT483","BREAST","10.179","0.1171"
"ACTL6A","BT549","BREAST","10.168","-0.1089"
"ACTL6A","BV173","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.9","-0.0776"
"ACTL6A","BXPC3","PANCREAS","9.936","-0.2492"
"ACTL6A","C2BBE1","LARGE INTESTINE","10.446","0.0285"
"ACTL6A","C32","SKIN","10.619","-0.0076"
"ACTL6A","C3A","LIVER","10.009","-0.1658"
"ACTL6A","CA46","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.03","0.04968"
"ACTL6A","CADOES1","BONE","9.6407","-0.08183"
"ACTL6A","CAKI1","KIDNEY","9.8722","0.2967"
"ACTL6A","CAKI2","KIDNEY","10.97","0.7152"
"ACTL6A","CAL120","BREAST","10.43","0.2547"
"ACTL6A","CAL12T","LUNG","10.579","0.3491"
"ACTL6A","CAL148","BREAST","11.048","-0.009498"
"ACTL6A","CAL27","UPPER AERODIGESTIVE TRACT","9.9088","0.3894"
"ACTL6A","CAL29","URINARY TRACT","10.624","0.5178"
"ACTL6A","CAL51","BREAST","10.2","0.0052"
"ACTL6A","CAL54","KIDNEY","9.6806","0.3148"
"ACTL6A","CAL62","THYROID","10.982","0.6871"
"ACTL6A","CAL78","BONE","10.552","0.8204"
"ACTL6A","CAL851","BREAST","11.142","0.8739"
"ACTL6A","CALU1","LUNG","10.661","0.03991"
"ACTL6A","CALU3","LUNG","11.161","0.7976"
"ACTL6A","CALU6","LUNG","10.038","0.1631"
"ACTL6A","CAMA1","BREAST","10.898","0.1918"
"ACTL6A","CAOV3","OVARY","10.871","1.129"
"ACTL6A","CAOV4","OVARY","10.434","0.2836"
"ACTL6A","CAPAN1","PANCREAS","10.424","0.8315"
"ACTL6A","CAPAN2","PANCREAS","9.8516","-0.0652"
"ACTL6A","CAS1","CENTRAL NERVOUS SYSTEM","10.56","0.2321"
"ACTL6A","CCFSTTG1","CENTRAL NERVOUS SYSTEM","10.426","-0.003592"
"ACTL6A","CCK81","LARGE INTESTINE","10.91","-0.3513"
"ACTL6A","CFPAC1","PANCREAS","10.029","0.3211"
"ACTL6A","CGTHW1","THYROID","11.022","0.3435"
"ACTL6A","CHAGOK1","LUNG","11.384","0.509"
"ACTL6A","CHL1","SKIN","10.654","0.6411"
"ACTL6A","CHP126","AUTONOMIC GANGLIA","10.23","-0.08138"
"ACTL6A","CHP212","AUTONOMIC GANGLIA","10.5","-0.007147"
"ACTL6A","CI1","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.553","-0.007935"
"ACTL6A","CJM","SKIN","10.83","0.475"
"ACTL6A","CL11","LARGE INTESTINE","10.763","0.0734"
"ACTL6A","CL14","LARGE INTESTINE","9.4337","-0.2147"
"ACTL6A","CL34","LARGE INTESTINE","10.483","0.0053"
"ACTL6A","CL40","LARGE INTESTINE","9.9635","-0.06431"
"ACTL6A","CMK115","HAEMATOPOIETIC AND LYMPHOID TISSUE","11.005","-0.211"
"ACTL6A","CMK","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.4671","-0.2487"
"ACTL6A","CMLT1","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.5468","-0.0126"
"ACTL6A","COLO205","LARGE INTESTINE","11.329","0.2795"
"ACTL6A","COLO320","LARGE INTESTINE","11.208","0.7396"
"ACTL6A","COLO668","LUNG","10.676","-0.0133"
"ACTL6A","COLO678","LARGE INTESTINE","10.688","0.4119"
"ACTL6A","COLO679","SKIN","10.378","0.0425"
"ACTL6A","COLO680N","OESOPHAGUS","9.8921","0.7436"
"ACTL6A","COLO704","OVARY","10.522","-0.1266"
"ACTL6A","COLO741","SKIN","10.296","0.6326"
"ACTL6A","COLO783","SKIN","9.5434","0.1426"
"ACTL6A","COLO792","SKIN","10.93","0.2017"
"ACTL6A","COLO800","SKIN","10.112","0.5489"
"ACTL6A","COLO818","SKIN","10.798","0.1625"
"ACTL6A","COLO829","SKIN","10.281","0.3601"
"ACTL6A","COLO849","SKIN","10.839","0.538"
"ACTL6A","CORL105","LUNG","10.565","0.1183"
"ACTL6A","CORL23","LUNG","10.797","0.4431"
"ACTL6A","CORL24","LUNG","10.771","0.6951"
"ACTL6A","CORL311","LUNG","9.9189","-0.1028"
"ACTL6A","CORL47","LUNG","11.767","0.5283"
"ACTL6A","CORL88","LUNG","10.846","0.3549"
"ACTL6A","CORL95","LUNG","10.509","0.4527"
"ACTL6A","COV318","OVARY","10.008","0.3828"
"ACTL6A","COV362","OVARY","11.102","0.0925"
"ACTL6A","COV434","OVARY","10.774","-0.01573"
"ACTL6A","COV504","OVARY","10.875","0.9139"
"ACTL6A","COV644","OVARY","10.809","0.5023"
"ACTL6A","CPCN","LUNG","10.932","0.5442"
"ACTL6A","CW2","LARGE INTESTINE","10.719","0.013"
"ACTL6A","D283MED","CENTRAL NERVOUS SYSTEM","10.024","-0.0118"
"ACTL6A","D341MED","CENTRAL NERVOUS SYSTEM","9.7206","-0.1141"
"ACTL6A","DANG","PANCREAS","11.076","-0.0261"
"ACTL6A","DAOY","CENTRAL NERVOUS SYSTEM","11.478","0.3194"
"ACTL6A","DAUDI","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.525","0.03524"
"ACTL6A","DB","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.428","-0.6712"
"ACTL6A","DBTRG05MG","CENTRAL NERVOUS SYSTEM","9.6088","0.16"
"ACTL6A","DEL","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.95","-0.11"
"ACTL6A","DETROIT562","UPPER AERODIGESTIVE TRACT","10.668","0.386"
"ACTL6A","DKMG","CENTRAL NERVOUS SYSTEM","10.206","0.1389"
"ACTL6A","DLD1","LARGE INTESTINE","10.913","-0.0097"
"ACTL6A","DMS114","LUNG","10.71","0.0831"
"ACTL6A","DMS153","LUNG","11.559","0.2033"
"ACTL6A","DMS273","LUNG","10.608","0.5812"
"ACTL6A","DMS454","LUNG","11.281","0.4795"
"ACTL6A","DMS53","LUNG","9.7788","-0.3198"
"ACTL6A","DMS79","LUNG","11.473","0.2573"
"ACTL6A","DND41","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.556","0.0175"
"ACTL6A","DOHH2","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.539","-0.0147"
"ACTL6A","DU145","PROSTATE","11.059","0.2585"
"ACTL6A","DU4475","BREAST","10.183","-0.006496"
"ACTL6A","DV90","LUNG","10.476","-0.04718"
"ACTL6A","EB1","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.7984","-0.0125"
"ACTL6A","EB2","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.683","0.243"
"ACTL6A","EBC1","LUNG","11.06","0.513"
"ACTL6A","ECC10","STOMACH","10.442","0.1587"
"ACTL6A","ECC12","STOMACH","11.015","0.5325"
"ACTL6A","ECGI10","OESOPHAGUS","10.364","0.4239"
"ACTL6A","EFE184","ENDOMETRIUM","10.728","0.2215"
"ACTL6A","EFM192A","BREAST","10.217","0.003342"
"ACTL6A","EFM19","BREAST","10.83","0.4111"
"ACTL6A","EFO21","OVARY","10.322","0.925"
"ACTL6A","EFO27","OVARY","9.5085","-0.1191"
"ACTL6A","EHEB","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.6003","0.0022"
"ACTL6A","EJM","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.176","0.09389"
"ACTL6A","EM2","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.715","0.2171"
"ACTL6A","EN","ENDOMETRIUM","9.5845","0.0616"
"ACTL6A","EOL1","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.096","-0.0927"
"ACTL6A","EPLC272H","LUNG","10.015","-0.0252"
"ACTL6A","ES2","OVARY","11.121","0.1671"
"ACTL6A","ESS1","ENDOMETRIUM","10.871","0.4983"
"ACTL6A","F36P","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.8088","0.0554"
"ACTL6A","FADU","UPPER AERODIGESTIVE TRACT","10.996","0.8909"
"ACTL6A","FTC133","THYROID","10.289","0.05665"
"ACTL6A","FU97","STOMACH","10.466","0.8405"
"ACTL6A","FUOV1","OVARY","10.696","0.7378"
"ACTL6A","G361","SKIN","11.062","0.3766"
"ACTL6A","G401","SOFT TISSUE","10.101","0.0004377"
"ACTL6A","G402","SOFT TISSUE","10.586","-0.0344"
"ACTL6A","GA10","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.829","-0.0151"
"ACTL6A","GAMG","CENTRAL NERVOUS SYSTEM","11.064","0.7956"
"ACTL6A","GCIY","STOMACH","11.127","0.2404"
"ACTL6A","GCT","SOFT TISSUE","10.258","0.068"
"ACTL6A","GDM1","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.178","-0.0444"
"ACTL6A","GI1","CENTRAL NERVOUS SYSTEM","10.217","-0.0825"
"ACTL6A","GMS10","CENTRAL NERVOUS SYSTEM","10.226","0.1066"
"ACTL6A","GOS3","CENTRAL NERVOUS SYSTEM","9.4713","0.2009"
"ACTL6A","GP2D","LARGE INTESTINE","10.19","0.01759"
"ACTL6A","GRANTA519","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.155","0.1181"
"ACTL6A","GSS","STOMACH","10.768","0.2278"
"ACTL6A","GSU","STOMACH","11.474","0.8344"
"ACTL6A","H4","CENTRAL NERVOUS SYSTEM","10.138","0.4731"
"ACTL6A","HARA","LUNG","11.48","1.067"
"ACTL6A","HCC1143","BREAST","10.54","0.5039"
"ACTL6A","HCC1171","LUNG","10.634","-0.1454"
"ACTL6A","HCC1187","BREAST","9.7342","-0.276"
"ACTL6A","HCC1195","LUNG","10.588","0.2761"
"ACTL6A","HCC1395","BREAST","10.005","0.1725"
"ACTL6A","HCC1419","BREAST","10.108","0.1679"
"ACTL6A","HCC1428","BREAST","11.475","0.6168"
"ACTL6A","HCC1500","BREAST","11.428","0.6864"
"ACTL6A","HCC1569","BREAST","10.483","0.5414"
"ACTL6A","HCC1599","BREAST","11.29","0.5093"
"ACTL6A","HCC15","LUNG","9.4617","-0.6105"
"ACTL6A","HCC1806","BREAST","10.782","0.809"
"ACTL6A","HCC1937","BREAST","11.205","0.8738"
"ACTL6A","HCC1954","BREAST","10.94","0.4355"
"ACTL6A","HCC202","BREAST","10.752","0.479"
"ACTL6A","HCC2157","BREAST","10.416","0.2074"
"ACTL6A","HCC2218","BREAST","10.454","0.08514"
"ACTL6A","HCC2279","LUNG","10.328","0.2347"
"ACTL6A","HCC2935","LUNG","10.228","0.237"
"ACTL6A","HCC33","LUNG","11.23","0.5663"
"ACTL6A","HCC366","LUNG","11.14","0.2511"
"ACTL6A","HCC38","BREAST","10.925","0.4741"
"ACTL6A","HCC4006","LUNG","10.679","0.2492"
"ACTL6A","HCC44","LUNG","10.758","0.325"
"ACTL6A","HCC56","LARGE INTESTINE","11.097","0.6074"
"ACTL6A","HCC70","BREAST","11.323","0.8214"
"ACTL6A","HCC78","LUNG","10.771","0.2425"
"ACTL6A","HCC827","LUNG","10.545","0.1499"
"ACTL6A","HCC95","LUNG","11.915","1.22"
"ACTL6A","HCT116","LARGE INTESTINE","10.008","-0.0273"
"ACTL6A","HCT15","LARGE INTESTINE","10.548","-0.0139"
"ACTL6A","HDLM2","HAEMATOPOIETIC AND LYMPHOID TISSUE","11.275","0.5844"
"ACTL6A","HDMYZ","HAEMATOPOIETIC AND LYMPHOID TISSUE","11.11","0.3447"
"ACTL6A","HDQP1","BREAST","10.509","0.3654"
"ACTL6A","HEC108","ENDOMETRIUM","9.5659","-0.318"
"ACTL6A","HEC151","ENDOMETRIUM","10.121","0.0015"
"ACTL6A","HEC1A","ENDOMETRIUM","11.204","0.3885"
"ACTL6A","HEC1B","ENDOMETRIUM","11.205","0.7559"
"ACTL6A","HEC251","ENDOMETRIUM","11.245","0.8984"
"ACTL6A","HEC265","ENDOMETRIUM","10.504","-0.08913"
"ACTL6A","HEC50B","ENDOMETRIUM","11.473","0.398"
"ACTL6A","HEC59","ENDOMETRIUM","11.103","0.2425"
"ACTL6A","HEC6","ENDOMETRIUM","11.333","0.5422"
"ACTL6A","HEL9217","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.756","0.2012"
"ACTL6A","HEL","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.635","0.149"
"ACTL6A","HEP3B217","LIVER","11.737","0.539"
"ACTL6A","HEPG2","LIVER","9.5582","-0.1274"
"ACTL6A","HEYA8","OVARY","11.337","0.5875"
"ACTL6A","HGC27","STOMACH","10.512","-0.5148"
"ACTL6A","HH","HAEMATOPOIETIC AND LYMPHOID TISSUE","11.207","0.6176"
"ACTL6A","HL60","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.723","0.05142"
"ACTL6A","HLE","LIVER","10.798","-0.3289"
"ACTL6A","HLFA","LUNG","9.5714","-0.012"
"ACTL6A","HLF","LIVER","10.766","-0.3702"
"ACTL6A","HMCB","SKIN","11.143","0.7504"
"ACTL6A","HOS","BONE","11.004","-0.084"
"ACTL6A","HPAC","PANCREAS","10.014","0.1147"
"ACTL6A","HPAFII","PANCREAS","10.928","0.7146"
"ACTL6A","HPBALL","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.192","0.0563"
"ACTL6A","HS172T","URINARY TRACT","9.4839","0.00721"
"ACTL6A","HS229T","LUNG","10.528","0.003018"
"ACTL6A","HS274T","BREAST","9.3014","-0.005994"
"ACTL6A","HS281T","BREAST","9.7789","4e-04"
"ACTL6A","HS294T","SKIN","9.3495","0.0172"
"ACTL6A","HS343T","BREAST","9.8736","-0.0114"
"ACTL6A","HS578T","BREAST","10.275","0.4992"
"ACTL6A","HS600T","SKIN","9.6961","0.0001967"
"ACTL6A","HS604T","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.1545","-0.006375"
"ACTL6A","HS606T","BREAST","10.192","2e-04"
"ACTL6A","HS611T","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.093","-0.03718"
"ACTL6A","HS616T","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.4544","-0.0067"
"ACTL6A","HS618T","LUNG","10.101","0.001686"
"ACTL6A","HS675T","LARGE INTESTINE","9.4505","0.002538"
"ACTL6A","HS683","CENTRAL NERVOUS SYSTEM","10.741","0.4473"
"ACTL6A","HS695T","SKIN","10.241","0.2552"
"ACTL6A","HS698T","LARGE INTESTINE","9.3365","-0.0034"
"ACTL6A","HS706T","BONE","10.083","-0.004217"
"ACTL6A","HS729","SOFT TISSUE","10.762","0.257"
"ACTL6A","HS737T","BONE","9.3556","-0.0142"
"ACTL6A","HS739T","BREAST","9.5248","-0.01106"
"ACTL6A","HS742T","BREAST","9.4768","-0.0038"
"ACTL6A","HS746T","STOMACH","10.131","0.0391"
"ACTL6A","HS751T","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.283","0.0149"
"ACTL6A","HS766T","PANCREAS","9.0408","-0.2104"
"ACTL6A","HS819T","BONE","9.5799","-0.007613"
"ACTL6A","HS821T","BONE","9.102","0.01317"
"ACTL6A","HS822T","BONE","9.5923","-2e-04"
"ACTL6A","HS839T","SKIN","10.214","-0.0059"
"ACTL6A","HS840T","UPPER AERODIGESTIVE TRACT","9.742","0.01476"
"ACTL6A","HS852T","SKIN","10.015","0.01751"
"ACTL6A","HS863T","BONE","9.6485","0.0011"
"ACTL6A","HS870T","BONE","10.102","0.0168"
"ACTL6A","HS888T","BONE","9.6941","-0.0072"
"ACTL6A","HS895T","SKIN","9.9171","-0.0117"
"ACTL6A","HS934T","SKIN","9.9086","-0.0059"
"ACTL6A","HS936T","SKIN","9.6962","0.2599"
"ACTL6A","HS939T","SKIN","10.316","0.0545"
"ACTL6A","HS940T","SKIN","9.2918","-0.01972"
"ACTL6A","HS944T","SKIN","9.9608","0.0347"
"ACTL6A","HSC2","UPPER AERODIGESTIVE TRACT","10.972","0.6321"
"ACTL6A","HSC3","UPPER AERODIGESTIVE TRACT","10.872","0.2235"
"ACTL6A","HSC4","UPPER AERODIGESTIVE TRACT","10.013","0.1485"
"ACTL6A","HT1080","SOFT TISSUE","10.721","0.462"
"ACTL6A","HT115","LARGE INTESTINE","10.927","-0.0803"
"ACTL6A","HT1197","URINARY TRACT","10.532","0.3418"
"ACTL6A","HT1376","URINARY TRACT","10.37","0.2202"
"ACTL6A","HT144","SKIN","11.032","0.4396"
"ACTL6A","HT29","LARGE INTESTINE","10.84","0.1283"
"ACTL6A","HT55","LARGE INTESTINE","9.8306","0.0626"
"ACTL6A","HT","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.699","0.02863"
"ACTL6A","HUCCT1","BILIARY TRACT","10.618","0.2652"
"ACTL6A","HUG1N","STOMACH","11.351","0.8067"
"ACTL6A","HUH1","LIVER","9.5971","0.084"
"ACTL6A","HUH28","BILIARY TRACT","10.413","0.2321"
"ACTL6A","HUH6","LIVER","11.265","0.2087"
"ACTL6A","HUH7","LIVER","10.861","0.1802"
"ACTL6A","HUNS1","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.19","0.03506"
"ACTL6A","HUPT3","PANCREAS","10.413","0.2498"
"ACTL6A","HUPT4","PANCREAS","10.637","0.0583"
"ACTL6A","HUT102","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.8679","-0.0024"
"ACTL6A","HUT78","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.503","0.2"
"ACTL6A","HUTU80","SMALL INTESTINE","10.511","0.0386"
"ACTL6A","IALM","LUNG","8.7379","-0.2104"
"ACTL6A","IGR1","SKIN","9.8587","0.4303"
"ACTL6A","IGR37","SKIN","11.09","0.326"
"ACTL6A","IGR39","SKIN","10.254","0.1884"
"ACTL6A","IGROV1","OVARY","9.7779","-0.0514"
"ACTL6A","IM95","STOMACH","11.022","-0.0256"
"ACTL6A","IMR32","AUTONOMIC GANGLIA","10.21","-0.149"
"ACTL6A","IPC298","SKIN","10.474","0.221"
"ACTL6A","ISTMES1","PLEURA","10.503","0.2905"
"ACTL6A","ISTMES2","PLEURA","9.2801","-0.7855"
"ACTL6A","J82","URINARY TRACT","10.326","0.5278"
"ACTL6A","JEKO1","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.564","-0.1467"
"ACTL6A","JHH1","LIVER","10.078","0.54"
"ACTL6A","JHH2","LIVER","10.314","0.249"
"ACTL6A","JHH4","LIVER","10.46","-0.1741"
"ACTL6A","JHH5","LIVER","10.203","0.2189"
"ACTL6A","JHH6","LIVER","9.9833","-0.6217"
"ACTL6A","JHH7","LIVER","10.042","0.0481"
"ACTL6A","JHOC5","OVARY","10.827","0.1483"
"ACTL6A","JHOM1","OVARY","9.9405","0.285"
"ACTL6A","JHOM2B","OVARY","10.795","0.0113"
"ACTL6A","JHOS2","OVARY","11.331","0.9056"
"ACTL6A","JHOS4","OVARY","10.636","0.7606"
"ACTL6A","JHUEM1","ENDOMETRIUM","8.9122","0.0244"
"ACTL6A","JHUEM2","ENDOMETRIUM","10.834","-0.0725"
"ACTL6A","JHUEM3","ENDOMETRIUM","10.533","0.3606"
"ACTL6A","JIMT1","BREAST","11.063","0.7081"
"ACTL6A","JK1","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.6475","-0.0185"
"ACTL6A","JL1","PLEURA","9.3977","0.0334"
"ACTL6A","JM1","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.846","0.4964"
"ACTL6A","JMSU1","URINARY TRACT","10.926","0.3096"
"ACTL6A","JURKAT","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.4502","-0.0028"
"ACTL6A","JURLMK1","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.566","0.07225"
"ACTL6A","JVM2","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.055","0.461"
"ACTL6A","JVM3","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.148","0.3242"
"ACTL6A","K029AX","SKIN","10.251","0.1657"
"ACTL6A","K562","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.118","0.03297"
"ACTL6A","KALS1","CENTRAL NERVOUS SYSTEM","10.647","0.3451"
"ACTL6A","KARPAS299","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.038","0.1071"
"ACTL6A","KARPAS620","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.496","0.07724"
"ACTL6A","KASUMI1","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.848","0.0355"
"ACTL6A","KASUMI2","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.9698","-0.9761"
"ACTL6A","KASUMI6","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.606","0.4975"
"ACTL6A","KATOIII","STOMACH","11.485","0.5278"
"ACTL6A","KCIMOH1","PANCREAS","10.194","0.1365"
"ACTL6A","KCL22","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.634","-0.1323"
"ACTL6A","KE37","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.538","-0.058"
"ACTL6A","KE39","STOMACH","10.768","0.0445"
"ACTL6A","KE97","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.242","-0.06288"
"ACTL6A","KELLY","AUTONOMIC GANGLIA","11.626","0.5339"
"ACTL6A","KG1C","CENTRAL NERVOUS SYSTEM","9.5087","0.0729"
"ACTL6A","KG1","HAEMATOPOIETIC AND LYMPHOID TISSUE","11.023","0.0679"
"ACTL6A","KHM1B","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.898","0.3443"
"ACTL6A","KIJK","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.656","0.1446"
"ACTL6A","KLE","ENDOMETRIUM","10.485","0.2122"
"ACTL6A","KM12","LARGE INTESTINE","10.757","0.0637"
"ACTL6A","KMBC2","URINARY TRACT","10.649","0.4137"
"ACTL6A","KMH2","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.761","0.4399"
"ACTL6A","KMM1","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.553","0.1877"
"ACTL6A","KMRC1","KIDNEY","11.007","0.5046"
"ACTL6A","KMRC20","KIDNEY","10.523","0.1317"
"ACTL6A","KMRC2","KIDNEY","10.378","0.0988"
"ACTL6A","KMRC3","KIDNEY","9.3703","0.04086"
"ACTL6A","KMS11","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.628","0.3192"
"ACTL6A","KMS12BM","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.396","0.1878"
"ACTL6A","KMS18","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.503","-0.01565"
"ACTL6A","KMS20","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.094","0.1426"
"ACTL6A","KMS21BM","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.123","0.0565"
"ACTL6A","KMS26","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.701","0.2559"
"ACTL6A","KMS27","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.419","0.03262"
"ACTL6A","KMS28BM","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.768","0.2412"
"ACTL6A","KMS34","HAEMATOPOIETIC AND LYMPHOID TISSUE","11.408","0.3927"
"ACTL6A","KNS42","CENTRAL NERVOUS SYSTEM","10.405","0.7577"
"ACTL6A","KNS60","CENTRAL NERVOUS SYSTEM","11.337","0.7251"
"ACTL6A","KNS62","LUNG","10.943","0.9672"
"ACTL6A","KNS81","CENTRAL NERVOUS SYSTEM","9.9621","0.03819"
"ACTL6A","KO52","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.675","-0.0444"
"ACTL6A","KOPN8","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.499","-0.0396"
"ACTL6A","KP2","PANCREAS","10.515","0.06021"
"ACTL6A","KP3","PANCREAS","10.758","0.4195"
"ACTL6A","KP4","PANCREAS","11.196","0.3037"
"ACTL6A","KPL1","BREAST","10.468","-0.1995"
"ACTL6A","KPNRTBM1","AUTONOMIC GANGLIA","10.703","-0.0032"
